iter	Passed	Remaining
737	1459	518
738	1461	516
739	1462	513
740	1464	511
741	1466	509
742	1467	507
743	1469	505
744	1470	503
745	1472	501
746	1474	499
747	1476	497
748	1478	495
749	1479	493
750	1481	491
751	1482	488
752	1484	486
753	1485	484
754	1488	482
755	1490	481
756	1492	479
757	1494	477
758	1496	475
759	1498	473
760	1500	471
761	1503	469
762	1505	467
763	1506	465
764	1508	463
765	1509	461
766	1511	459
767	1513	457
768	1514	454
769	1516	452
770	1518	450
771	1520	448
772	1522	446
773	1523	444
774	1525	442
775	1527	440
776	1528	438
777	1530	436
778	1532	434
779	1534	432
780	1536	430
781	1538	428
782	1540	426
783	1542	424
784	1544	422
785	1546	420
786	1547	418
787	1549	416
788	1551	414
789	1553	412
790	1554	410
791	1556	408
792	1558	406
793	1559	404
794	1561	402
795	1563	400
796	1564	398
797	1566	396
798	1568	394
799	1570	392
800	1571	390
801	1573	388
802	1574	386
803	1576	384
804	1578	382
805	1579	380
806	1582	378
807	1584	376
808	1585	374
809	1587	372
810	1589	370
811	1590	368
812	1592	366
813	1594	364
814	1595	362
815	1598	360
816	1599	358
817	1601	356
818	1603	354
819	1604	352
820	1606	350
821	1607	348
822	1609	346
823	1611	344
824	1613	342
825	1614	340
826	1616	338
827	1618	336
828	1619	334
829	1621	332
830	1622	330
831	1624	327
832	1625	325
833	1628	324
834	1629	322
835	1631	320
836	1633	318
837	1635	316
838	1637	314
839	1638	312
840	1640	310
841	1642	308
842	1644	306
843	1646	304
844	1648	302
845	1650	300
846	1652	298
847	1653	296
848	1655	294
849	1657	292
850	1659	290
851	1661	288
852	1662	286
853	1664	284
854	1665	282
855	1667	280
856	1669	278
857	1671	276
858	1672	274
859	1674	272
860	1676	270
861	1678	268
862	1680	266
863	1682	264
864	1683	262
865	1685	260
866	1686	258
867	1688	256
868	1690	254
869	1692	252
870	1693	250
871	1695	248
872	1697	246
873	1698	244
874	1700	242
875	1701	240
876	1703	238
877	1705	236
878	1707	235
879	1709	233
880	1710	231
881	1712	229
882	1714	227
883	1715	225
884	1717	223
885	1719	221
886	1721	219
887	1724	217
888	1725	215
889	1727	213
890	1729	211
891	1731	209
892	1732	207
893	1734	205
894	1736	203
895	1738	201
896	1740	199
897	1742	197
898	1744	195
899	1745	193
900	1747	191
901	1749	190
902	1750	188
903	1752	186
904	1754	184
905	1756	182
906	1758	180
907	1759	178
908	1761	176
909	1762	174
910	1764	172
911	1766	170
912	1768	168
913	1770	166
914	1771	164
915	1773	162
916	1775	160
917	1776	158
918	1778	156
919	1780	154
920	1781	152
921	1783	150
922	1785	148
923	1787	147
924	1789	145
925	1791	143
926	1792	141
927	1794	139
928	1796	137
929	1798	135
930	1800	133
931	1802	131
932	1804	129
933	1805	127
934	1807	125
935	1809	123
936	1810	121
937	1812	119
938	1814	117
939	1816	115
940	1818	114
941	1820	112
942	1822	110
943	1823	108
944	1825	106
945	1827	104
946	1829	102
947	1831	100
948	1832	98
949	1834	96
950	1836	94
951	1838	92
952	1839	90
953	1841	88
954	1843	86
955	1845	84
956	1847	82
957	1848	81
958	1850	79
959	1852	77
960	1854	75
961	1855	73
962	1857	71
963	1859	69
964	1861	67
965	1863	65
966	1864	63
967	1866	61
968	1868	59
969	1869	57
970	1871	55
971	1873	53
972	1874	52
973	1876	50
974	1878	48
975	1881	46
976	1882	44
977	1884	42
978	1886	40
979	1888	38
980	1890	36
981	1892	34
982	1894	32
983	1896	30
984	1898	28
985	1899	26
986	1901	25
987	1902	23
988	1904	21
989	1906	19
990	1908	17
991	1909	15
992	1911	13
993	1913	11
994	1914	9
995	1916	7
996	1918	5
997	1919	3
998	1921	1
999	1923	0
